model,RMSE,MAE,n_predictions,n_days,n_nodes
XGBoost,0.0119508275122061,0.0084808593537077,167602,422,414
ARIMA,0.0121510683572359,0.0084659441512059,167899,422,427
Naive,0.0129508381220523,0.0087088050465422,165956,422,414
