quote_date,portfolio_daily_pnl_unhedged,spot,spot_tplus1,delta_only_hedge_pnl,daily_pnl_delta_hedged,cumulative_pnl_delta_hedged,delta_gamma_option_hedge_pnl,delta_gamma_underlying_hedge_pnl,daily_pnl_delta_gamma_hedged,cumulative_pnl_delta_gamma_hedged,hedge_status_delta_only,hedge_status_delta_gamma
2023-04-24,-4.947321428571432,4134.395,4075.245,4.031197592377624,-0.9161238361938082,-0.9161238361938082,-0.0662318377656576,4.113101359975757,-0.900451906361333,-0.900451906361333,hedged,hedged
2023-04-25,-5.350000000000001,4075.245,4050.72,5.417279613071012,0.0672796130710109,-0.8488442231227973,1.0309937611087074,4.63309095689323,0.3140847180019355,-0.5863671883593975,hedged,hedged
2023-04-26,20.293229166666663,4050.72,4134.17,-19.801232176342065,0.4919969903245977,-0.3568472327981995,-0.0308932872768564,-19.771120434510788,0.4912154448790176,-0.0951517434803799,hedged,hedged
2023-04-27,8.412500000000017,4134.17,4163.365,-8.451580395999176,-0.039080395999159,-0.3959276287973585,0.2103267639873613,-8.692674556450381,-0.0698477924630029,-0.1649995359433829,hedged,hedged
2023-04-28,-0.2000000000000001,4163.365,4167.3150000000005,0.0084764903548386,-0.1915235096451615,-0.5874511384425201,-0.0984582260883179,0.0632173543995065,-0.2352408716888114,-0.4002404076321944,hedged,hedged
2023-05-01,0.7978571428571462,4167.3150000000005,4120.89,-0.8081304005396958,-0.0102732576825496,-0.5977243961250697,1.383140527520796,-1.9770695804699192,0.2039280899080229,-0.1963123177241714,hedged,hedged
2023-05-02,2.5499999999999834,4120.89,4095.2,-2.0076340148510274,0.542365985148956,-0.0553584109761137,-0.5345610348458949,-1.5234653159876432,0.4919736491664455,0.295661331442274,hedged,hedged
2023-05-03,-5.619285714285704,4095.2,4062.69,4.827061655372263,-0.7922240589134413,-0.847582469889555,0.418834895389902,4.356741711073814,-0.8437091078219883,-0.5480477763797142,hedged,hedged
2023-05-04,18.04249999999999,4062.69,4139.495,-16.307733598126646,1.734766401873344,0.887183931983789,-0.951923227152909,-15.37992121342102,1.7106555594260602,1.162607783046346,hedged,hedged
2023-05-05,-0.2750000000000057,4139.495,4139.93,0.1766083125640587,-0.0983916874359469,0.788792244547842,-0.0384220618452696,0.1790611764798975,-0.1343608853653778,1.028246897680968,hedged,hedged
2023-05-08,2.79553571428571,4139.93,4122.395,-2.450731198972209,0.3448045153135006,1.1335967598613426,0.8026893548232616,-3.221679012175845,0.376546056933126,1.404792954614094,hedged,hedged
2023-05-09,0.6268749999999996,4122.395,4144.025,-1.2027734588188073,-0.5758984588188076,0.5576983010425349,0.959411847303506,-1.95805754883554,-0.3717707015320337,1.0330222530820603,hedged,hedged
2023-05-10,-5.462499999999992,4144.025,4127.1,5.026778419348584,-0.4357215806514087,0.1219767203911261,-0.2489956176628253,5.383585654339948,-0.3279099633228703,0.7051122897591899,hedged,hedged
2023-05-11,-0.2125000000000024,4127.1,4117.790000000001,0.5088567836429294,0.296356783642927,0.4183335040340531,0.0244400651694004,0.492910367659557,0.3048504328289551,1.0099627225881451,hedged,hedged
