model,split,node,n_predictions,rmse,mae
naive_persistence,test,iv_x15_t11,422,0.0137423106380754,0.0089285982957334
naive_persistence,test,iv_x15_t12,422,0.014033636905009,0.0091304645571666
naive_persistence,test,iv_x15_t13,422,0.0139091384500083,0.0088789857196168
naive_persistence,test,iv_x15_t14,422,0.0161602153573735,0.0103396626038543
naive_persistence,test,iv_x15_t15,422,0.0158784507025629,0.0102426828862603
naive_persistence,test,iv_x15_t16,422,0.0174046842692454,0.0108148335844819
naive_persistence,test,iv_x15_t17,422,0.0182347020277293,0.0121988918778901
naive_persistence,test,iv_x15_t18,263,0.0159061982260002,0.0098120484954061
naive_persistence,test,iv_x16_t01,422,0.00834797997181,0.0056470193561195
naive_persistence,test,iv_x16_t02,422,0.0089058946385304,0.0063235978270966
naive_persistence,test,iv_x16_t03,422,0.0108942003486432,0.0073839537583802
naive_persistence,test,iv_x16_t04,422,0.0113272393382817,0.0077775936349765
naive_persistence,test,iv_x16_t05,422,0.0119094840036099,0.0084456852527578
naive_persistence,test,iv_x16_t06,422,0.0131440181840909,0.0094644542836407
naive_persistence,test,iv_x16_t07,422,0.0132998948056129,0.0091712694103687
naive_persistence,test,iv_x16_t08,422,0.0139455397202596,0.0097397848851835
naive_persistence,test,iv_x16_t09,422,0.01407465260528,0.009482239692802
naive_persistence,test,iv_x16_t10,422,0.0134411036160531,0.0090844801067175
naive_persistence,test,iv_x16_t11,422,0.0148827512224593,0.010087709061522
naive_persistence,test,iv_x16_t12,422,0.0161109898292294,0.0102785336700272
naive_persistence,test,iv_x16_t13,422,0.0172213085166751,0.0113725043448873
naive_persistence,test,iv_x16_t14,422,0.0183880951111378,0.0116950271573893
naive_persistence,test,iv_x16_t15,422,0.0179196357376971,0.0116184483019082
naive_persistence,test,iv_x16_t16,422,0.0186699740786433,0.0116471524775026
naive_persistence,test,iv_x16_t17,422,0.0199268053187324,0.0124748646352321
naive_persistence,test,iv_x16_t18,263,0.0179784449721637,0.0105607329122301
naive_persistence,test,iv_x17_t01,422,0.0071412916560662,0.0046767345991838
naive_persistence,test,iv_x17_t02,422,0.0079935075030307,0.0055193951687166
naive_persistence,test,iv_x17_t03,422,0.0091697123855757,0.006453596471663
naive_persistence,test,iv_x17_t04,422,0.0094097057002901,0.0068013483376921
naive_persistence,test,iv_x17_t05,422,0.0099263498697416,0.0071869193942689
