quote_date,total_delta_before,total_gamma_before,hedge_underlying_units_delta_only,hedge_option_contract_key,hedge_option_type,hedge_option_strike,hedge_option_expiration,hedge_option_price_t,hedge_option_price_tplus1,hedge_option_delta,hedge_option_gamma,hedge_option_units,hedge_underlying_units_delta_gamma,residual_delta_after_hedge,residual_gamma_after_hedge,hedge_status
2023-04-24,0.0681521148330953,-4.202508625088937e-06,-0.0681521148330953,^SPX|SPX|2023-06-16|4135.000000|C,C,4135.0,2023-06-16,106.9,80.25,0.5571594981228558,0.0016909821414723,0.0024852471957094,-0.069536793913368,0.0,0.0,hedged
2023-04-25,0.2208880576175736,8.71339813694064e-05,-0.2208880576175736,^SPX|SPX|2023-06-16|4075.000000|C,C,4075.0,2023-06-16,117.05,99.5,0.544292842277553,0.0014832304818106,-0.0587460832540574,-0.1889129849905489,0.0,0.0,hedged
2023-04-26,0.2372825904894188,1.0061576744238883e-06,-0.2372825904894188,^SPX|SPX|2023-06-16|4050.000000|C,C,4050.0,2023-06-16,115.4,162.7,0.5524672712330378,0.0015405048214439,-0.0006531350375656,-0.2369217547574682,0.0,0.0,hedged
2023-04-27,0.2894872545298599,-2.596479620284844e-05,-0.2894872545298599,^SPX|SPX|2023-06-16|4135.000000|C,C,4135.0,2023-06-16,102.6,116.6,0.5496822428244335,0.0017282971503413,0.0150233402848115,-0.2977453179123298,0.0,0.0,hedged
2023-04-28,-0.0021459469252752,-5.568532742861488e-05,0.0021459469252752,^SPX|SPX|2023-06-16|4165.000000|P,P,4165.0,2023-06-16,78.8,75.44999999999999,-0.47152785432944,0.0018946699965783,0.029390515250244,0.0160043935188594,0.0,0.0,hedged
2023-05-01,-0.0174072245673601,-0.0001015363182172,0.0174072245673601,^SPX|SPX|2023-06-16|4165.000000|P,P,4165.0,2023-06-16,75.44999999999999,99.7,-0.4414539824785723,0.0017801920106994,0.0570367227843626,0.0425863129880433,0.0,0.0,hedged
2023-05-02,-0.0781484630148302,7.006051181945261e-05,0.0781484630148302,^SPX|SPX|2023-06-16|4120.000000|P,P,4120.0,2023-06-16,82.85,95.55,-0.4477535386947527,0.0016644843939355,-0.0420914200666058,0.05930188073132,0.0,0.0,hedged
2023-05-03,0.1484792880766625,4.5374182825757744e-05,-0.1484792880766625,^SPX|SPX|2023-06-16|4095.000000|C,C,4095.0,2023-06-16,102.95,87.0,0.5509272521702062,0.0017279319942936,-0.0262592410902759,-0.1340123565387218,0.0,0.0,hedged
2023-05-04,0.2123264578885057,3.5612040906154214e-05,-0.2123264578885057,^SPX|SPX|2023-06-16|4065.000000|C,C,4065.0,2023-06-16,105.7,146.6,0.5190295161433539,0.0015300944777007,-0.0232744065318559,-0.2002463539277527,0.0,0.0,hedged
2023-05-05,-0.4059961208365432,-2.245262836523116e-05,0.4059961208365432,^SPX|SPX|2023-06-16|4140.000000|P,P,4140.0,2023-06-16,77.9,74.8,-0.4549516291055384,0.0018115411976722,0.012394213498474,0.4116348884591558,0.0,0.0,hedged
