model,split,node,n_predictions,rmse,mae
xgboost,test,iv_x20_t02,409,0.0089134947727387,0.0074141902590649
xgboost,test,iv_x20_t03,422,0.0060129376411109,0.0046649435497499
xgboost,test,iv_x20_t04,422,0.0063883311973353,0.0048765836314341
xgboost,test,iv_x20_t05,422,0.0063790078907731,0.0049422781891999
xgboost,test,iv_x20_t06,422,0.0067643885017096,0.0052447131210242
xgboost,test,iv_x20_t07,422,0.0072329345843162,0.0057845392778671
xgboost,test,iv_x20_t08,422,0.0076558937665151,0.0060033016500946
xgboost,test,iv_x20_t09,422,0.0080549334952619,0.0063835111859189
xgboost,test,iv_x20_t10,422,0.0086018825425747,0.0069848534776268
xgboost,test,iv_x20_t11,422,0.0093001428741142,0.0074349404829341
xgboost,test,iv_x20_t12,422,0.0097776013459249,0.007702344081654
xgboost,test,iv_x20_t13,422,0.0104008410000732,0.008201234227101
xgboost,test,iv_x20_t14,422,0.010813882893707,0.0087352539831528
xgboost,test,iv_x20_t15,422,0.011231992624657,0.0090281669528079
xgboost,test,iv_x20_t16,422,0.0122946525525717,0.0099388927776915
xgboost,test,iv_x20_t17,415,0.0129163421310349,0.0103335591549013
xgboost,test,iv_x20_t18,273,0.0139464594707945,0.0109168755878835
xgboost,test,iv_x21_t01,119,0.0376799635221,0.0304436020262385
xgboost,test,iv_x21_t02,310,0.0166643466109194,0.0124548867921697
xgboost,test,iv_x21_t03,412,0.009268508240865,0.0078419863105845
xgboost,test,iv_x21_t04,422,0.0067365373314034,0.0055508274899001
xgboost,test,iv_x21_t05,422,0.0062287981506367,0.0049857801592596
xgboost,test,iv_x21_t06,422,0.0062568650190807,0.004957256645608
xgboost,test,iv_x21_t07,422,0.0065510563328636,0.0052867478936431
xgboost,test,iv_x21_t08,422,0.0071445111108486,0.0057680301379605
xgboost,test,iv_x21_t09,422,0.0078357386151137,0.0063037593203481
xgboost,test,iv_x21_t10,422,0.0078591328915758,0.0063932816250248
xgboost,test,iv_x21_t11,422,0.0086762873023456,0.0069919832647211
xgboost,test,iv_x21_t12,422,0.0091408541401875,0.0074175298822044
xgboost,test,iv_x21_t13,422,0.009515677648759,0.0075871425108078
xgboost,test,iv_x21_t14,422,0.0098537277350626,0.0077901068020208
xgboost,test,iv_x21_t15,422,0.0105175112755967,0.0083718215467774
xgboost,test,iv_x21_t16,421,0.0109201147235459,0.0088084228177157
xgboost,test,iv_x21_t17,408,0.0115949410248055,0.0092761210854527
xgboost,test,iv_x21_t18,260,0.0131439205475705,0.0103169723407387
xgboost,test,iv_x22_t01,47,0.0364945666260727,0.0303514054875312
xgboost,test,iv_x22_t02,141,0.0352866432063969,0.0288396392817635
xgboost,test,iv_x22_t03,291,0.016619202290436,0.0118042442105696
xgboost,test,iv_x22_t04,395,0.0078148933439142,0.0056226105322987
xgboost,test,iv_x22_t05,421,0.0079790445935162,0.0067952606675579
xgboost,test,iv_x22_t06,422,0.0062598800990807,0.005037649786589
xgboost,test,iv_x22_t07,422,0.0072368869553508,0.0057718384999534
xgboost,test,iv_x22_t08,422,0.0065982107292025,0.0053449070277315
xgboost,test,iv_x22_t09,422,0.0070360338104753,0.0056863301459208
xgboost,test,iv_x22_t10,422,0.0073891482046562,0.0060683496993304
xgboost,test,iv_x22_t11,422,0.007652109809079,0.0061811389601883
xgboost,test,iv_x22_t12,422,0.0082570371364617,0.0066971576047208
xgboost,test,iv_x22_t13,422,0.0086472872825625,0.0070172351626725
xgboost,test,iv_x22_t14,422,0.0093578265408976,0.0076773134012071
xgboost,test,iv_x22_t15,422,0.0097243830549982,0.0077929617471989
xgboost,test,iv_x22_t16,415,0.0102181287371336,0.0081084461861353
xgboost,test,iv_x22_t17,387,0.010893215744741,0.0086413397399441
xgboost,test,iv_x22_t18,227,0.0122525236666485,0.0095561721723191
xgboost,test,iv_x23_t01,20,0.0266358136512409,0.0197289497914186
xgboost,test,iv_x23_t02,43,0.044193516892552,0.0366025946825525
xgboost,test,iv_x23_t03,121,0.0338185148177806,0.0271208740479637
xgboost,test,iv_x23_t04,229,0.0193172732131548,0.0138069726326115
xgboost,test,iv_x23_t05,332,0.0097195336430166,0.0065728325230921
xgboost,test,iv_x23_t06,390,0.0088979177449951,0.007266008693596
xgboost,test,iv_x23_t07,409,0.0080051553677237,0.0065804810997539
xgboost,test,iv_x23_t08,414,0.0068504044895791,0.0054919817430528
xgboost,test,iv_x23_t09,420,0.0086490642445807,0.0071946827003667
xgboost,test,iv_x23_t10,420,0.007962782218625,0.006645035604462
xgboost,test,iv_x23_t11,420,0.0075847654769758,0.0062333040895889
xgboost,test,iv_x23_t12,420,0.008026731093403,0.0065076043847993
xgboost,test,iv_x23_t13,420,0.0087379155107343,0.0071052897588579
xgboost,test,iv_x23_t14,419,0.0094050168097084,0.0076719480648566
xgboost,test,iv_x23_t15,407,0.0094373754894402,0.0076213368735297
xgboost,test,iv_x23_t16,384,0.0102231449948095,0.0081486685494832
xgboost,test,iv_x23_t17,303,0.010911035244079,0.008411985031161
xgboost,test,iv_x23_t18,166,0.0156522498210124,0.0126071792706242
