model,split,node,n_predictions,rmse,mae
arima,test,iv_x06_t05,422,0.0106749766073443,0.0075406540781331
arima,test,iv_x06_t06,422,0.0129913201674846,0.0091626450736408
arima,test,iv_x06_t07,422,0.0103376835005995,0.0075676507712334
arima,test,iv_x06_t08,422,0.0106435604788248,0.0077902231034496
arima,test,iv_x06_t09,422,0.0111985640969185,0.0080010419913268
arima,test,iv_x06_t10,422,0.0110992277829573,0.0081673482612443
arima,test,iv_x06_t11,422,0.0119568368299564,0.0087679461831851
arima,test,iv_x06_t12,422,0.0123286407868637,0.0091993348835155
arima,test,iv_x06_t13,422,0.0121331665584775,0.0091946819979529
arima,test,iv_x06_t14,422,0.0121492968475175,0.0092577297011068
arima,test,iv_x06_t15,422,0.0133128017360251,0.0099317751460132
arima,test,iv_x06_t16,422,0.0127857386850738,0.0095301263730535
arima,test,iv_x06_t17,421,0.0134336305471259,0.0099483411697394
arima,test,iv_x06_t18,273,0.0127879446489263,0.0091475160254261
arima,test,iv_x06_t19,21,0.0235040776114611,0.0201251141192949
arima,test,iv_x07_t01,422,0.0118919867973645,0.0077650760450511
arima,test,iv_x07_t02,422,0.011458142418424,0.0076887892087415
arima,test,iv_x07_t03,422,0.0112153181512637,0.0076510057608394
arima,test,iv_x07_t04,422,0.0106986439453752,0.0075629982811892
arima,test,iv_x07_t05,422,0.0114750537831635,0.0080964021608335
arima,test,iv_x07_t06,422,0.0112831420114118,0.0080426752434921
arima,test,iv_x07_t07,422,0.0110803276855119,0.0080335877368883
arima,test,iv_x07_t08,422,0.0107659481743461,0.0077432023291651
arima,test,iv_x07_t09,422,0.0115591733655911,0.0085480970450694
arima,test,iv_x07_t10,422,0.0120073406458986,0.0086741164294494
arima,test,iv_x07_t11,422,0.012689790867281,0.0089946472641527
arima,test,iv_x07_t12,422,0.012036670139751,0.0087277084435358
arima,test,iv_x07_t13,422,0.012077264197296,0.0089002076138156
arima,test,iv_x07_t14,422,0.0123237581200012,0.0091251465763979
arima,test,iv_x07_t15,422,0.0141112016270206,0.0104297268906611
arima,test,iv_x07_t16,422,0.0147825209459765,0.0105168547914232
arima,test,iv_x07_t17,421,0.0146563080215449,0.010630201689143
arima,test,iv_x07_t18,276,0.0131467525171534,0.0096523276763398
arima,test,iv_x07_t19,23,0.0227673673300103,0.0191771190896082
arima,test,iv_x08_t01,422,0.0117123429277335,0.0076998242714908
arima,test,iv_x08_t02,422,0.0116911321185979,0.00800756557915
arima,test,iv_x08_t03,422,0.0111026238518909,0.0076363463301963
arima,test,iv_x08_t04,422,0.0109057970303129,0.007825946052635
arima,test,iv_x08_t05,422,0.0110132607106121,0.0079439870334586
arima,test,iv_x08_t06,422,0.0113475395723165,0.0080026179500205
arima,test,iv_x08_t07,422,0.0117703792777886,0.0086404820600514
arima,test,iv_x08_t08,422,0.012111587079258,0.0084664738751235
arima,test,iv_x08_t09,422,0.011534388225568,0.0080171965834566
arima,test,iv_x08_t10,422,0.0111334338157479,0.0080420409653158
arima,test,iv_x08_t11,422,0.0120585809917612,0.0089061565140529
arima,test,iv_x08_t12,422,0.0129208131459807,0.0094468762452191
arima,test,iv_x08_t13,422,0.0138295159363427,0.0098069582459581
arima,test,iv_x08_t14,422,0.0144932496375987,0.0102942015151476
arima,test,iv_x08_t15,422,0.0143099850129142,0.0104344466191037
arima,test,iv_x08_t16,422,0.0158887141881922,0.0112364782047958
arima,test,iv_x08_t17,421,0.0173816757359352,0.0118690787551276
arima,test,iv_x08_t18,277,0.014360041027234,0.0104449010954296
arima,test,iv_x08_t19,23,0.0260617458048985,0.0207609081697891
arima,test,iv_x09_t01,422,0.0116059773039033,0.0076775473826267
arima,test,iv_x09_t02,422,0.0113404390418458,0.0077978170754321
arima,test,iv_x09_t03,422,0.0112930750082352,0.007656626420623
arima,test,iv_x09_t04,422,0.0104415243800938,0.0073341667288619
arima,test,iv_x09_t05,422,0.0113323258678819,0.0082115437812299
arima,test,iv_x09_t06,422,0.0115166247934338,0.0083377254462454
